ARTINUMMER;ORIG;BEZEICH;BEZEICH2;GROSSE;FARBE;PREISFAKT;EK;VK;VK2;VK3;VK4;VK5;VK6;VK7;VK8;VK9;VK10;LVKDAT;UVBVK;DEK;EKMENGE;LEK;LEKDAT;INVDATUM;INVBEW;LPAND;ETIKETT;WG;LR;MATCH;EAN;KEYNUM;FKEYNUM;FMENGE;LAGER;MIN;MINWIN;MAX;SPERRMAX;NACHMENGE;NACHWIN;REKLAMA;BESTMENGE;RABATTGR;TEILEART;MWSTSCH;GEWICHT;RESERV;RABATT;ANMERK1;ANMERK2;BESTELLT;ANLAGEDAT;VPGR;PRAMIE;KALKBASIS;KALKUL;SPERRE;RABPREIS;BESTANDJN;LIEFERBAR;AUTOBEST;AUSLAUF;ARCHIV;INTERNET;INETDBT;IRABATT;WEITERE;KOMMISSION;PAKETTEIL;GERAETJN;KDZWANGJN;HATBILDER;RABATTJN;TIMESTAMP;BILDNUM;EINHMENGE;EINHTYP;ZOLLTARIF;ORIGIN;SHOPWGR;IBEZEICH;IFARBE;MARKE;IPLATZ;EBAYKAT;EBAYKAT2;INETDBT2;EBAYSKAT;EBAYSKAT2;EBAYADBT;EBAYZUST;EBAYTNO;VATYP;ASIN;RETURNFLAG;PMP;HAZARD;BLOCK;TBLOCK;VKZ;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;VORJAHR;
100;;Reifen incl. Montage;;;;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;01.03.19;0.00;0.00;1099;0.00;27.03.13;09.06.15;0.00;27.03.13;1;560;3;;;5001;0;0;;0;0;0;0;0;0;0;0;;;1;0.00;5.00;0;;;0;17.01.12;;0.00;V;0.00;N;;N;J;J;;N;N;35946;0.00;NJ0NNNJNN 0;N;N;N;N;N;N;2014021211:43:30;0;0.00;;;;0;;;;0;;;35947;;;;;0;0;;;;;;;;3;2;8;21;15;27;20;26;12;12;8;1;0;6;1;0;0;0;0;0;0;0;0;0;172;
101;;Sonstiges;;;;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;01.03.19;0.00;0.00;30589;0.00;14.09.18;09.06.15;0.00;14.09.18;1;400;3;;;5002;0;0;;0;0;0;0;0;0;0;0;;;1;0.00;652.00;0;;;0;18.01.12;;0.00;V;0.00;N;;J;J;J;;N;N;35948;0.00;JJ0NNNJNN 0N;N;N;N;N;N;N;2018081011:29:58;0;0.00;;;;0;;;;0;;;35949;;;;;0;0;;;;;;;;13;118;1656;100;104;117;241;193;1465;45;33;956;5;42;3;0;0;0;0;0;0;0;0;0;7495;
102;;Zündkerzenstecker NGK;;;;0;2.90;5.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;5.80;2.90;35;2.90;14.02.12;21.12.15;2.90;14.02.12;1;410;3;;;5084;0;0;31;5;0;0;0;20;0;0;0;;;1;0.00;0.00;0;;;0;14.02.12;;0.00;V;0.00;N;;J;J;J;;N;N;36397;0.00;JJ0NNJJNN;N;N;N;N;N;J;2012021413:02:17;0;0.00;;;;0;;;;0;;;36398;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102-22123-00-00;;BUCHSE 1;;;;0;7.62;15.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.05.15;12.95;6.72;4;6.72;21.05.15;  .  .  ;0.00;19.01.19;3;500;1;102-22123-00-000;;9865;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;25.08.14;;0.00;V;0.00;N;;J;J;J;;N;N;59392;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015052108:02:26;0;0.00;;;;0;;;;0;;;59393;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102-24522-01-00;102245220100;DICHTUNG;;;;0;1.90;4.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;3.22;1.32;1;1.32;24.06.15;  .  .  ;0.00;19.01.19;3;500;1;102-24522-01-000;;10739;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;18.06.15;;0.00;V;0.00;N;;J;J;J;;N;N;65696;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015062408:04:04;0;0.00;;;;0;;;;0;;;65697;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102-25137-00-00;;RING, ANSCHLAG;;;;0;1.40;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;2.38;1.08;1;1.08;31.08.12;  .  .  ;0.00;19.01.19;3;500;1;102-25137-00-000;;6971;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;30.08.12;;0.00;V;0.00;N;;J;J;J;;N;N;44162;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012083108:01:58;0;0.00;;;;0;;;;0;;;44163;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;;Zulassungsgebühr;;;;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;09.03.12;0.00;0.00;999;0.00;03.03.12;21.12.15;0.00;03.03.12;1;900;3;;;5175;0;0;;0;0;0;0;0;0;0;0;;;3;0.00;0.00;0;;;0;01.03.12;;0.00;V;0.00;N;;J;J;J;;N;N;36736;0.00;JJ0NNNJNN;N;N;N;N;N;J;2012030309:14:33;0;0.00;;;;0;;;;0;;;36737;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109-14713-00-00;;MUTTER, SCHALLDAMP-VERBIN.;;;;0;8.49;17.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;14.43;4.09;0;0.00;  .  .  ;21.12.15;9.56;19.01.19;3;500;1;109-14713-00-000;;1187;0;0;1131;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32229;0.00;NN;;N;N;N;N;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109-25136-00-00;;BUCHSE;;;;0;2.09;4.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;05.03.97;3.55;2.23;0;0.00;08.04.98;21.12.15;1.46;19.01.19;3;500;1;109-25136-00-000;;2094;0;0;2024;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32230;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109-25315-00-00;;FLANSCH, ABSTANDHALTER;;;;0;1.21;2.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;2.06;0.00;0;0.00;  .  .  ;21.12.15;0.94;19.01.19;3;500;1;109-25315-00-000;;3246;0;0;2114;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32231;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10B-E1181-10-00;;DICHTUNG, ZYLINDERKOPF 1;;;;0;10.48;20.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.07.17;17.33;10.14;1;10.14;01.07.17;  .  .  ;0.00;19.01.19;3;500;1;10B-E1181-10-000;;12534;0;0;;0;0;0;0;1;0;0;0;AA;SN;1;0.00;0.00;0;;;0;30.06.17;1;0.00;V;0.00;N;;J;J;J;;N;N;78200;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2017063009:36:12;0;0.00;;;;0;;;;0;;;78201;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
10L-14453-01-00;;VERBINDUNG, LUFTFILTER 1;;;;0;20.58;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.06.14;34.99;39.58;1;39.58;25.06.14;  .  .  ;0.00;19.01.19;3;500;1;10L-14453-01-000;;9473;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;;;0;23.06.14;;0.00;V;0.00;N;;J;J;J;;N;N;57639;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014062508:21:58;0;0.00;;;;0;;;;0;;;57640;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10L-24500-09-00;;KRAFTSTOFFHAHN 1;;;;0;67.60;132.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;07.11.14;114.92;52.29;1;52.29;06.11.14;  .  .  ;0.00;19.01.19;3;500;1;10L-24500-09-000;;10089;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;04.11.14;;0.00;V;0.00;N;;J;J;J;;N;N;60554;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014110609:55:05;0;0.00;;;;0;;;;0;;;60555;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10L-83310-70-00;;VORDERER BLINKER KOMPL. 1;;;;0;39.49;81.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;71.21;21.42;0;0.00;28.08.01;21.12.15;10.67;19.01.19;3;500;1;10L-83310-70-000;;3398;0;0;821;0;0;0;0;0;0;0;1;Q;NC;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32232;0.00;NN;;N;N;N;N;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10L-W0092-00-00;;KRAFTSTOFFHAHN-VENTILSATZ;;;;0;8.80;18.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;09.08.17;14.96;8.41;1;8.41;09.08.17;21.12.15;0.00;19.01.19;3;500;1;10L-W0092-00-000;;2249;0;0;2311;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;32233;0.00;J  NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
10M-82911-00-00;;HALTER, HEBEL 1;;;;0;17.24;34.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.04.18;28.50;16.70;4;16.74;18.04.18;  .  .  ;0.00;19.01.19;3;500;1;10M-82911-00-000;;9183;0;0;;0;0;0;0;1;0;0;0;AA;SN;1;0.00;0.00;0;;;0;24.04.14;;0.00;V;0.00;N;;J;J;J;;N;N;56035;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015061207:43:06;0;0.00;;;;0;;;;0;;;56036;;;;;0;0;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10M-83550-00-00;;GESCHWINDIGK. KABEL KOMPL.;;;;0;22.31;48.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;40.23;10.18;0;0.00;  .  .  ;21.12.15;18.68;19.01.19;3;500;1;10M-83550-00-000;;2363;0;0;97;0;0;0;0;0;0;0;1;Q;NC;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32235;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10S-F8351-10-00;10SF83511000;KAROSSERIE, VERKLEIDUNG;;;;0;66.61;126.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.01.15;110.09;63.82;1;63.82;27.01.15;  .  .  ;0.00;19.01.19;3;500;1;10S-F8351-10-000;;10191;0;0;;0;0;0;0;1;0;0;0;AA;SN;1;0.00;0.00;0;;;0;23.01.15;;0.00;V;0.00;N;;J;J;J;;N;N;61116;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015012709:57:39;0;0.00;;;;0;;;;0;;;61117;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10S-H410A-00-00;10SH410A0000;HEADLIGHT UNIT COMP;;;;0;148.33;282.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.01.15;245.16;119.15;1;119.15;27.01.15;  .  .  ;0.00;19.01.19;3;500;1;10S-H410A-00-000;;10192;0;0;;0;0;0;0;1;0;0;0;AA;SN;1;0.00;0.00;0;;;0;23.01.15;;0.00;V;0.00;N;;J;J;J;;N;N;61118;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015012709:57:39;0;0.00;;;;0;;;;0;;;61119;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-11636-00-00;;KOLBEN (0.50MM UG);;;;0;50.75;96.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;83.88;24.58;0;0.00;  .  .  ;21.12.15;38.76;19.01.19;3;500;1;10V-11636-00-000;;1063;0;0;1151;0;0;0;0;0;0;0;1;AA;SN;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32236;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-14453-00-00;;VERBINDUNG, LUFTFILTER 1;;;;0;9.82;20.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;16.70;3.95;0;0.00;  .  .  ;21.12.15;9.76;19.01.19;3;500;1;10V-14453-00-000;;2273;0;0;2564;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32237;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-14468-00-00;;BEFESTIGUNGSPLATTE, ELEMENT;;;;0;3.68;7.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;6.26;1.39;0;0.00;  .  .  ;21.12.15;2.72;19.01.19;3;500;1;10V-14468-00-000;;1995;0;0;2572;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32238;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-16351-00-00;;DRUCKPLATTE 1;;;;0;18.40;37.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;31.27;9.10;0;0.00;  .  .  ;21.12.15;18.83;19.01.19;3;500;1;10V-16351-00-000;;1319;0;0;1051;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32239;0.00;NN;;N;N;N;N;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-21875-00-00;;VERSCHLUSSDECKEL;;;;0;5.70;11.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.08.17;9.69;5.45;1;5.45;04.08.17;19.12.13;0.00;19.01.19;3;500;1;10V-21875-00-000;;2721;0;0;2546;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;32240;0.00;J  NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
10V-22153-00-00;;FUHRUNG, KETTE;;;;0;8.62;17.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.08.14;14.65;7.96;1;7.96;06.08.14;  .  .  ;0.00;19.01.19;3;500;1;10V-22153-00-000;;9747;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;04.08.14;;0.00;V;0.00;N;;J;J;J;;N;N;58858;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014080607:56:10;0;0.00;;;;0;;;;0;;;58859;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-22178-00-00;;SPANNER;;;;0;8.97;18.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.10.14;15.24;2.80;2;2.80;23.10.14;  .  .  ;0.00;19.01.19;3;500;1;10V-22178-00-000;;5804;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;02.05.12;;0.00;V;0.00;N;;J;J;J;;N;N;39440;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2014102309:32:22;0;0.00;;;;0;;;;0;;;39441;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-22184-00-00;;BUCHSE;;;;0;2.24;4.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.05.15;3.81;1.81;7;1.81;12.05.15;  .  .  ;0.00;19.01.19;3;500;1;10V-22184-00-000;;6849;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;18.08.12;;0.00;V;0.00;N;;J;J;J;;N;N;43689;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2015051208:42:17;0;0.00;;;;0;;;;0;;;43690;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-23135-00-00;10V231350000;GLEITMETALL 2;;;;0;9.39;19.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;01.08.15;15.96;8.04;2;8.04;31.07.15;  .  .  ;0.00;19.01.19;3;500;1;10V-23135-00-000;;10872;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;29.07.15;;0.00;V;0.00;N;;J;J;J;;N;N;66672;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015080109:24:15;0;0.00;;;;0;;;;0;;;66673;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-24500-02-00;;KRAFTSTOFFHAHN 1;;;;0;40.23;78.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.07.14;68.39;24.36;2;24.36;15.07.14;  .  .  ;0.00;19.01.19;3;500;1;10V-24500-02-000;;9201;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;26.04.14;;0.00;V;0.00;N;;J;J;J;;N;N;56115;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014071507:51:01;0;0.00;;;;0;;;;0;;;56116;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-25304-01-00;;SPEICHENSATZ, HINTEN;;;;0;58.09;113.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;05.07.99;98.76;17.14;0;0.00;09.07.99;21.12.15;7.75;19.01.19;3;500;1;10V-25304-01-000;;2147;0;0;2066;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32241;0.00;NN;;N;N;N;N;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-25321-00-98;;PLATTE, BREMSANKER;;;;0;103.78;202.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;176.43;42.55;0;0.00;  .  .  ;21.12.15;69.70;19.01.19;3;500;1;10V-25321-00-980;;1424;0;0;2113;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32242;0.00;NN;;N;N;N;N;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-25355-00-00;;HEBEL, NOCKENWELLE;;;;0;8.38;17.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;14.24;0.00;0;0.00;  .  .  ;  .  .  ;0.00;19.01.19;3;500;1;10V-25355-00-000;;9602;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;10.07.14;;0.00;V;0.00;N;;J;N;J;;;N;58179;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014071015:59:36;0;0.00;;;;0;;;;0;;;58180;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-25412-00-00;;SCHEIBE;;;;0;2.46;5.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.06.02;4.18;0.81;0;0.00;18.06.02;21.12.15;0.55;19.01.19;3;500;1;10V-25412-00-000;;1438;0;0;1064;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32243;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-26335-00-00;;KUPPLUNGSSEIL;;;;0;27.94;58.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.08.07;50.37;12.97;0;0.00;  .  .  ;21.12.15;23.23;19.01.19;3;500;1;10V-26335-00-000;;2195;0;0;94;0;0;0;0;0;0;0;1;Q;NC;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32244;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-83365-00-00;;KAPPE;;;;0;2.00;4.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.07.14;3.40;1.79;4;1.79;02.08.14;  .  .  ;0.00;19.01.19;3;500;1;10V-83365-00-000;;9721;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;30.07.14;;0.00;V;0.00;N;;J;J;J;;N;N;58735;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014080208:18:39;0;0.00;;;;0;;;;0;;;58736;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10V-83368-00-00;;STUETZE, BLINKER 1;;;;0;4.44;9.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;7.54;6.67;0;0.00;  .  .  ;21.12.15;4.67;19.01.19;3;500;1;10V-83368-00-000;;2389;0;0;2512;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32245;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10W-14451-00-00;;ELEMENT, LUFTFILTER;;;;0;3.78;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.07.15;7.50;3.31;2;3.31;09.12.14;09.06.15;3.31;19.01.19;3;500;1;10W-14451-00-000;;6223;0;0;;0;0;0;0;0;0;0;0;A;K2;1;0.00;0.00;0;Automatisch aufgenommen;;0;12.06.12;;0.00;V;0.00;N;;J;J;J;;N;N;41255;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2014120909:43:46;0;0.00;;;;0;;;;0;;;41256;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10W-1490J-00-00;;NADELSATZ;;;;0;24.38;49.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;41.45;0.00;0;0.00;  .  .  ;21.12.15;22.28;19.01.19;3;500;1;10W-1490J-00-000;;1201;0;0;2515;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32247;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10W-23435-00-98;;LENKERKRONE;;;;0;72.56;138.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;119.93;26.54;0;0.00;  .  .  ;21.12.15;62.05;19.01.19;3;500;1;10W-23435-00-980;;1392;0;0;2210;0;0;0;0;0;0;0;1;AA;SN;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32248;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10W-26290-00-00;;RUECKBLICKSPIEGEL KOMPL (L);;;;0;26.56;57.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.01.98;47.89;31.16;0;0.00;13.12.97;21.12.15;6.23;19.01.19;3;500;1;10W-26290-00-000;;1490;0;0;191;0;0;0;0;0;0;0;1;Q;NC;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;32249;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
