ARTINUMMER;ORIG;BEZEICH;BEZEICH2;GROSSE;FARBE;PREISFAKT;EK;VK;VK2;VK3;VK4;VK5;VK6;VK7;VK8;VK9;VK10;LVKDAT;UVBVK;DEK;EKMENGE;LEK;LEKDAT;INVDATUM;INVBEW;LPAND;ETIKETT;WG;LR;MATCH;EAN;KEYNUM;FKEYNUM;FMENGE;LAGER;MIN;MINWIN;MAX;SPERRMAX;NACHMENGE;NACHWIN;REKLAMA;BESTMENGE;RABATTGR;TEILEART;MWSTSCH;GEWICHT;RESERV;RABATT;ANMERK1;ANMERK2;BESTELLT;ANLAGEDAT;VPGR;PRAMIE;KALKBASIS;KALKUL;SPERRE;RABPREIS;BESTANDJN;LIEFERBAR;AUTOBEST;AUSLAUF;ARCHIV;INTERNET;INETDBT;IRABATT;WEITERE;KOMMISSION;PAKETTEIL;GERAETJN;KDZWANGJN;HATBILDER;RABATTJN;TIMESTAMP;BILDNUM;EINHMENGE;EINHTYP;ZOLLTARIF;ORIGIN;SHOPWGR;IBEZEICH;IFARBE;MARKE;IPLATZ;EBAYKAT;EBAYKAT2;INETDBT2;EBAYSKAT;EBAYSKAT2;EBAYADBT;EBAYZUST;EBAYTNO;VATYP;ASIN;RETURNFLAG;PMP;HAZARD;BLOCK;TBLOCK;VKZ;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;VORJAHR;
90249-05006-00;;STIFT;;;;0;5.42;11.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;9.21;0.00;0;0.00;  .  .  ;  .  .  ;0.00;19.01.19;3;500;1;90249-05006-000;;13460;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;20.08.18;1;0.00;V;0.00;N;;J;J;J;;;N;85358;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2018082011:44:39;0;0.00;;;;0;;;;0;;;85359;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90249-12008-00;;STIFT;;;;0;1.90;4.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.07.17;3.22;2.10;0;0.00;16.04.09;21.12.15;1.26;19.01.19;3;500;1;90249-12008-000;;1695;0;0;641;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35273;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
90269-04003-00;;RIVET 214234830000;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.06.07;1.25;1.33;0;0.00;16.06.95;  .  .  ;0.00;19.01.19;3;500;1;90269-04003-000;;2124;0;0;kas6;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;35274;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-05001-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;1.25;0.00;0;0.00;  .  .  ;  .  .  ;0.00;19.01.19;3;500;1;90269-05001-000;;13624;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;30.11.18;1;0.00;V;0.00;N;;J;J;J;;;N;86842;0.00;JJ0NNNJNN 0N;N;;N;N;N;J;2018113012:40:44;0;0.00;;;;0;;;;0;;;86843;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-05006-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.01.12;1.25;0.80;0;0.00;17.01.12;  .  .  ;0.00;19.01.19;3;500;1;90269-05006-000;;4759;0;0;;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;13.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;35275;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-05049-00;;RIVET(8V0);;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;03.03.14;1.25;1.61;0;0.00;08.06.11;21.12.15;1.12;19.01.19;3;500;1;90269-05049-000;;2379;0;0;nieten;2;0;0;0;5;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35276;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012092414:10:52;0;0.00;;;;0;;;;0;;;44917;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-05055-00;;NIET;;;;0;0.56;1.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.07.08;0.95;0.66;5;0.50;27.09.12;21.12.15;0.66;19.01.19;3;500;1;90269-05055-000;;3453;0;0;nieten;2;0;0;0;5;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35277;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012092708:04:07;0;0.00;;;;0;;;;0;;;44918;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-05079-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;06.04.18;1.25;0.66;12;0.66;09.12.15;21.12.15;0.66;19.01.19;3;500;1;90269-05079-000;;9000;0;0;k9;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;05.03.14;;0.00;V;0.00;N;;J;J;J;;N;N;53712;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2015120909:46:14;0;0.00;;;;0;;;;0;;;53713;;;;;0;0;;;;;;;;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-06001-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.02.19;1.25;0.77;131;0.71;03.07.18;21.12.15;0.00;19.01.19;3;500;1;90269-06001-000;;3685;0;0;k9;2;0;0;0;5;0;0;1;C;CP;1;0.00;2.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35278;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2016060207:54:53;0;0.00;;;;0;;;;0;;;37367;;;;;0;0;;;;;;;;0;0;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;
90269-06002-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.07.13;1.25;0.75;2;0.75;24.03.12;21.12.12;0.75;19.01.19;3;500;1;90269-06002-000;;5377;0;0;nieten;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;20.03.12;;0.00;V;0.00;N;;J;J;J;;N;N;37558;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012092414:09:06;0;0.00;;;;0;;;;0;;;37559;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
